nĩyo	n e j o
prize	p r i s e
raini	r a ĩ n i
reke	r e k e
riake	r i a k e
ruhuho	r u h u h o
rwanda	r w ẽ d a
rúúí	r u i
square	s k w a r e
uteti	u t e t i
wagatano	w a ɡ a t a n o
wiira	w i r a
wìna	w ĩ n a
úkinye	u k ĩ e
úkoragwo	u k o r a ɡ w o
ĩkoragwo	e k o r a ɡ w o
afrika	a f r i k a
amwe	a m w e
aruti	a r u t i
arĩa	a r e a
atia	a t i a
gachagua	ɡ a t a ɡ w a
gatano	ɡ a t a n o
gĩkĩ	ɡ e k e
ikombe	i k o m b e
ingì	ĩ ɡ i
itîîna	i t i n a
kiharo	k i h a r o
kìnene	k i n e n e
kúría	k u r i a
kûrîa	k u r i a
kĩndũ	k ẽ d o
mabururi	m a b u r u r i
mamwe	m a m w e
mangí	m ɔ̃ ɡ i
mao	m a o
matatú	m a t a t u
mbembe	b ɛ̃ b e
mboco	b o t o
meri	m e r i
merĩ	m e r e
million	m i l j õ
muthaki	m u s a k i
muthige	m u s i ɡ e
mwìrì	m w i r i
mũbira	m o b i r a
mūthige	m u s i ɡ e
nií	n i
njata	d a t a
nyūmba	m ũ b a
nìyo	n i j o
nĩwe	n e w e
oya	o j a
rúrú	r u r u
rūrìa	r u r i a
santos	s ɔ̃ t o s
sayansi	s a j ẽ s i
somalia	s o m a l i a
thengia	s e ɡ i a
uri	u r i
wakana	w a k a n a
wĩyathi	w e j a s i
úmotho	u m o s o
ûcio	u t i o
ûmotho	u m o s o
ũcio	o t i o
aciari	a t i a r i
arata	a r a t a
atí	a t i
aumite	a u m i t e
friday	f r i d a j
gatagatî	ɡ a t a ɡ a t i
giake	ɡ i a k e
gwake	ɡ w a k e
gìtììri	ɡ i t i r i
gíthomo	ɡ i s o m o
gùkorwo	ɡ u k o r w o
gúkorwo	ɡ u k o r w o
gútirí	ɡ u t i r i
gĩthomo	ɡ e s o m o
handũ	h ã d o
handū	h ã d u
huho	h u h o
inana	ĩ n a n a
ingí	ĩ ɡ i
jumaine	d u m a i n e
kaba	k a b a
kihooto	k i h o t o
kipyegon	k i p j e ɡ õ
kori	k o r i
kuhura	k u h u r a
kìama	k i a m a
maai	m a i
machakos	m a t a k o s
makiri	m a k i r i
marîa	m a r i a
mbata	b a t a
mbogo	b o ɡ o
millioni	m i l j o n i
minista	m i n i s t a
mutongoria	m u t õ ɡ o r i a
mîaka	m i a k a
mùcoro	m u t o r o
múthaki	m u s a k i
mûbira	m u b i r a
mûciì	m u t i
mûingî	m u ĩ ɡ i
mūhuro	m u h u r o
mūtune	m u t u n e
mūtì	m u t i
nako	n a k o
nanyuki	n ã j u k i
ndini	d ĩ n i
nduka	d u k a
neti	n e t i
njaa	d a
nyingî	m ĩ ɡ i
nîwe	n i w e
